BookId,Title,Author,Year,Genres
1,To Kill a Mockingbird,Harper Lee,1960,"Fiction,Classic"
2,1984,George Orwell,1949,"Fiction,Dystopian"
3,The Great Gatsby,F. Scott Fitzgerald,1925,"Fiction,Classic"
4,Pride and Prejudice,Jane Austen,1813,"Romance,Classic"
5,The Hobbit,J.R.R. Tolkien,1937,"Fantasy,Adventure"
6,The Catcher in the Rye,J.D. Salinger,1951,"Fiction,Coming-of-age"
7,The Lord of the Rings,J.R.R. Tolkien,1954,"Fantasy,Adventure"
8,Animal Farm,George Orwell,1945,"Fiction,Dystopian"
9,Brave New World,Aldous Huxley,1932,"Fiction,Dystopian"
10,The Grapes of Wrath,John Steinbeck,1939,"Fiction,Historical"
11,To the Lighthouse,Virginia Woolf,1927,"Fiction,Modernist"
12,The Road,Cormac McCarthy,2006,"Fiction,Post-apocalyptic"
13,Beloved,Toni Morrison,1987,"Fiction,Historical"
14,The Handmaid's Tale,Margaret Atwood,1985,"Fiction,Dystopian"
15,The Alchemist,Paulo Coelho,1988,"Fiction,Philosophical"
16,The Book Thief,Markus Zusak,2005,"Historical,Fiction"
17,The Kite Runner,Khaled Hosseini,2003,"Historical,Fiction"
18,Little Women,Louisa May Alcott,1868,"Fiction,Coming-of-age"
19,The Secret Garden,Frances Hodgson Burnett,1911,"Fiction,Children's"
20,The Little Prince,Antoine de Saint-Exupéry,1943,"Fable,Philosophical"